CustomerKey,GeographyKey,CustomerLabel,Title,FirstName,MiddleName,LastName,NameStyle,BirthDate,MaritalStatus,Suffix,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CustomerType,CompanyName
1,680,11000,NULL,Jon,V,Yang,0,1966-04-08,M,NULL,M,jon24@adventure-works.com,90000.00,2,0,Bachelors,Professional,1,0,3761 N. 14th St,NULL,1 (11) 500 555-0162,2001-07-22,Person,NULL
2,692,11001,NULL,Eugene,L,Huang,0,1965-05-14,S,NULL,M,eugene10@adventure-works.com,60000.00,3,3,Bachelors,Professional,0,1,2243 W St.,NULL,1 (11) 500 555-0110,2001-07-18,Person,NULL
3,493,11002,NULL,Ruben,NULL,Torres,0,1965-08-12,M,NULL,M,ruben35@adventure-works.com,60000.00,3,3,Bachelors,Professional,1,1,5844 Linden Land,NULL,1 (11) 500 555-0184,2001-07-10,Person,NULL
4,519,11003,NULL,Christy,NULL,Zhu,0,1968-02-15,S,NULL,F,christy12@adventure-works.com,70000.00,0,0,Bachelors,Professional,0,1,1825 Village Pl.,NULL,1 (11) 500 555-0162,2001-07-01,Person,NULL
5,706,11004,NULL,Elizabeth,NULL,Johnson,0,1968-08-08,S,NULL,F,elizabeth5@adventure-works.com,80000.00,5,5,Bachelors,Professional,1,4,7553 Harness Circle,NULL,1 (11) 500 555-0131,2001-07-26,Person,NULL
6,478,11005,NULL,Julio,NULL,Ruiz,0,1965-08-05,S,NULL,M,julio1@adventure-works.com,70000.00,0,0,Bachelors,Professional,1,1,7305 Humphrey Drive,NULL,1 (11) 500 555-0151,2001-07-02,Person,NULL
7,509,11006,NULL,Janet,G,Alvarez,0,1965-12-06,S,NULL,F,janet9@adventure-works.com,70000.00,0,0,Bachelors,Professional,1,1,2612 Berry Dr,NULL,1 (11) 500 555-0184,2001-07-27,Person,NULL
8,568,11007,NULL,Marco,NULL,Mehta,0,1964-05-09,M,NULL,M,marco14@adventure-works.com,60000.00,3,3,Bachelors,Professional,1,2,942 Brook Street,NULL,1 (11) 500 555-0126,2001-07-12,Person,NULL
9,425,11008,NULL,Rob,NULL,Verhoff,0,1964-07-07,S,NULL,F,rob4@adventure-works.com,60000.00,4,4,Bachelors,Professional,1,3,624 Peabody Road,NULL,1 (11) 500 555-0164,2001-07-28,Person,NULL
10,492,11009,NULL,Shannon,C,Carlson,0,1964-04-01,S,NULL,M,shannon38@adventure-works.com,70000.00,0,0,Bachelors,Professional,0,1,3839 Northgate Road,NULL,1 (11) 500 555-0110,2001-07-30,Person,NULL
